dataset,method,k,tau,param,build_time_s,avg_infer_s,accuracy,macro_f1,fallback_rate
letter-recognition,Exact kNN,5,,,0.017589330673217773,0.00015300269126892089,0.94,0.9399823547344006,
letter-recognition,Annoy-only,5,,"n_trees=50, search_k=-1",0.53350830078125,9.479341506958008e-05,0.9474,0.9472764207698172,
letter-recognition,SE-kNN (Annoy→Exact),5,1.05,"n_trees=50, search_k=-1",0.53350830078125,0.0008546091079711914,0.9458,0.9457708263738809,0.2896
letter-recognition,SE-kNN (Annoy→Exact),5,1.1,"n_trees=50, search_k=-1",0.53350830078125,0.000986151123046875,0.9456,0.9455833029487448,0.44
letter-recognition,SE-kNN (Annoy→Exact),5,1.2,"n_trees=50, search_k=-1",0.53350830078125,0.0015191041469573975,0.9436,0.9435691592188034,0.6386
letter-recognition,SE-kNN (Annoy→Exact),5,1.5,"n_trees=50, search_k=-1",0.53350830078125,0.001721625804901123,0.9416,0.9415880777035313,0.844
CC_default[Default],Exact kNN,5,,,0.0056955814361572266,0.00021996768315633137,0.7926666666666666,0.6489271288313865,
CC_default[Default],Annoy-only,5,,"n_trees=50, search_k=-1",1.2460975646972656,0.0001383586883544922,0.7928,0.6498605330363422,
CC_default[Default],SE-kNN (Annoy→Exact),5,1.05,"n_trees=50, search_k=-1",1.2460975646972656,0.001019454256693522,0.792,0.6476964769647696,0.2828
CC_default[Default],SE-kNN (Annoy→Exact),5,1.1,"n_trees=50, search_k=-1",1.2460975646972656,0.0017429140090942383,0.7924,0.6484755881610732,0.4597333333333333
CC_default[Default],SE-kNN (Annoy→Exact),5,1.2,"n_trees=50, search_k=-1",1.2460975646972656,0.002248922316233317,0.7929333333333334,0.6491759029763468,0.6692
CC_default[Default],SE-kNN (Annoy→Exact),5,1.5,"n_trees=50, search_k=-1",1.2460975646972656,0.002744226328531901,0.7928,0.6492542281191516,0.8844
AthleteSelection,Exact kNN,5,,,0.0008037090301513672,0.00034279823303222655,1.0,1.0,
AthleteSelection,Annoy-only,5,,"n_trees=50, search_k=-1",0.001340627670288086,5.91278076171875e-05,1.0,1.0,
AthleteSelection,SE-kNN (Annoy→Exact),5,1.05,"n_trees=50, search_k=-1",0.001340627670288086,0.00039091110229492185,1.0,1.0,0.2
AthleteSelection,SE-kNN (Annoy→Exact),5,1.1,"n_trees=50, search_k=-1",0.001340627670288086,0.00039343833923339845,1.0,1.0,0.2
AthleteSelection,SE-kNN (Annoy→Exact),5,1.2,"n_trees=50, search_k=-1",0.001340627670288086,0.0003811359405517578,1.0,1.0,0.2
AthleteSelection,SE-kNN (Annoy→Exact),5,1.5,"n_trees=50, search_k=-1",0.001340627670288086,0.0017182350158691407,1.0,1.0,0.6
